Offset,Effect,Comments,Functional Explanations / Notes
,,,
Static Player Block,Length 0xE90,"Static block starting at 0x80453080 for P1, 80453F10 for P2, 80454dA0 for P3, 80455C30 for P4",
0x00,Player State,Int. 0x02 In-Game (includes dead). 0x00 Otherwise.,
0x04,Player Character (External ID),Int.,
0x08,"Slot Type (Human, CPU, Demo, None)","Int. (0x0000000 is HMN, 0x00000001 is CPU, 0x00000002 is Demo, 0x00000003 n/a)",
0x0C,Transformed,"Short. 0x0001 for normal, 0x0100 for transformed (Probably Zelda/Sheik only)","800326CC multiplies 1 * 0x0C if a character is transformed. So the formula for position = 0x10 + (0x0C * isTransformed), resulting in positions offsets 0x1C through 0x24 instead of 0x10 through 0x18"
0x0E,0000?,Short.,
0x10,Nametag X (Horizontal) Position,Float,
0x14,Nametag Y (Vertical) Position,Float,
0x18,Nametag Z (Depth) Position,Float,
0x1C,Transformed Player X Position,"Float. Set by initial spawn & respawns. If you're transformed, this acts as the player nametag position.",
0x20,Transformed Player Y Position, ,
0x24,Transformed Player Z Position,Float.,
0x28,Spawn Platform Final Position X,"Float. These are set the first time you respawn, unless a stage changes your spawn position",
0x2C,Spawn Platform Final Position Y,Float.,
0x30,Spawn Platform Final Position Z,Float. Same as Spawn Position Z.,
0x34,?, ,
0x38,?, ,
0x3C,?,Int,
0x40,Facing Direction,Float.,
0x44,Costume ID,"Byte. 00 = normal, 01 = red, 02 = blue, 03 = green (reflected in icon immediately)",
0x45,?,Byte.,
0x46,Controller Index,Byte.,
0x47,,"Byte. 00 = red, 01 = blue, 02 = green",
0x48,Player ID,Byte.,
0x49,CPU Level,Byte.,
0x4A,CPU Type,Byte.,
0x4B,Handicap Value,Byte.,
0x4C,?,,
0x50,?,Float,
0x54,Attack Ratio,Float,
0x58,Damage Defense Ratio,Float,
0x5C,Model Scale,Float. Scale that match was started with. Modifying does nothing.,
0x60,Stamina HP Lost / Percentage - Currently Displayed ,Short,
0x62,Starting Percentage / Nana's %,Short. Used in modes like Sudden Death to set your starting Percentage. Otherwise Nana's or Sheik's %,
0x64,Stamina HP,Short,
0x66,?,Short,
0x68,Falls,Int,
0x6C,Nana's Death Count,Int,
0x70,P1 KOs,Int,
0x74,P2 KOs,Int,
0x78,P3 KOs,Int,
0x7C,P4 KOs,Int,
0x80,P5 KOs,Int,
0x84,P6 KOs,Int,
0x88,Match Frame Count,"Int. If -1 in zz_0035184, then it's set to MatchInfo->frame_count",
0x8C,Suicide Count,Short,
0x8E,Stocks,Byte,
0x8F,00?,Byte,
0x90,Current Coins,Int,
0x94,Total Coins Collected,Int,
0x98,?,,
0x9C,?,Int.,
0xA0,Joystick Direction Input Count,Int. Incremented every time you move the joystick a different direction from neutral.,
0xA4,?,,
0xA8,Name Tag Slot ID,,
0xAC,Bit Flags,Byte. (Multi-Spawn - 0x40 = True) (Rumble Flag bit 24),
0xAD,?,,
0xAE,?,,
0xAF,?,,
0xB0,Pointer to Player Entity,,
0xB4,Pointer to Sub-Character Entity,"Used for followers, such as Nana",
0xBC,Stale Move Table Current Write Index,Int. Zero-Indexed. Rolls over after 9. Increments after each write.,
0xC0,Stale Move Index 0,1st Short is the move ID,
0xC4,Stale Move Index 1,2nd Short is the # of action states that character has gone through this game,
0xC8,Stale Move Index 2,,
0xCC,Stale Move Index 3,,
0xD0,Stale Move Index 4,,
0xD4,Stale Move Index 5,,
0xD8,Stale Move Index 6,,
0xDC,Stale Move Index 7,,
0xE0,Stale Move Index 8,,
0xE4,Stale Move Index 9,,
0xE8,Total Player Attack Count,"Int. Incremented by 1 with each attack, hit or miss",
0xEC,?,Int.,
,,,
0x6A8,?,Accessed by zz_00362B4,
0x66C,Dash Forward Count,,
0x674,Jump Count,,
0x690,Ledge Grab Count,,
0x694,Taunt Count,*,
0x69C,Shield Count,,
,,,
0xD18,Total Connected Attacks,Int. Incremented when an attack lands,
0xD1C,Total Damage Received,Float.,
0xD20,Peak Damage Received,Float. Reflects the highest amount of damage received in a single life,
0xD28,Total Damage Given,Float.,
0xD38,Total Damage Received (Repeated?),Float.,
,,,
START Player Entity Struct,Length 0x44,"Refers to values starting from the ""data pointer,"" also known as a GObj",
0x00,Entity Class,Short. 0x0004 indicates a Player.  Ex. 0x00040805,
0x02,p_link,Byte.,
0x03,gx_link,"Byte. Index into 2 arrays (highest render priority & lowest) of various GObjs for rendering, essentially indicating object type.",
0x04,P Priority,Byte. Reference 8038ffb8,
0x05,GX Render priority,Byte. Reference 8039069C,
0x06,obj_kind,Byte. Set to 0xFF for NO REF.,
0x07,data_kind,Byte. Set to 0xFF for NO REF.,
0x08,Next player's data pointer,"Data pointers are ""daisy-chained,"" so each subsequent player is accessed from the data pointer of the previous",
0x0C,Previous player's data pointer,"For P2+, this points to P(n - 1)",
0x10,Next player's data pointer - GX Ordered,This points to the lower render priority GObj relative to this one.,
0x14,Previous player's data pointer - GX Ordered,This points to the higher render priority GObj relative to this one.,
0x18,Pointer to GObjProc,,
0x1C,GXCallback Render Function,"0x80080E18(entity*, int code)",
0x20,0x00000000,,
0x24,0x00000000,,
0x28,Pointer to JObj,,
0x2C,Pointer to Player Character Data (see below table),Usually 0x60 away from the start of Player Entity Struct,
0x30,Pointer to Destructor Function,0x8006DABC(entity*),
0x34,Pointer to Linked List,,
0x38,0x00000000,,
0x3C,Flags,,
0x40,Pointer to Linked List,,
0x44,Pointer to Linked List,,
,,,
START Player Character Data,,"Traditionally, the game points to this for anything related to Char Data, as sometimes the data does not immediately follow the entity struct",
0x00,Entity Struct Pointer,Points back to 0x00 of the Entity,
0x01,Player Index (Internal ID),"Word. Used for bone lookups, such as prior to spawning JObjs at a specified bone",
0x08,Current Spawn #,The current life is the nth character spawned since the beginning of the match,
0x0C,Player Slot,Byte,
0x0D,,Byte,
0x0E,,Byte,
0x0F,,Byte,
0x10,Action State,The value at this address indicates the action state of the character. Modifying this alone does nothing.,
0x14,Animation State,The animation to occur after the current one ends. Only has an effect if the current action state is set to loop.,
0x18,0x155,Move table divider constant?,
0x1C,Shared Action State Table Pointer,,
0x20,Move Table Pointer,Player dependent move table pointer,
0x24,Character's action state hitbox/animation pointer,,
0x28,End of hitbox data pointer?,,
0x2C,Facing direction,"Float. 1 is right, -1 is left",
0x30,Facing direction (Repeated),"Not a direct repeat of above. I believe 0x30 is the actual facing direction of the model / Bone 0, and 0x2C is the ""official"" character facing as far as game/move logic is concerned.",
0x34,Player Scale,Read on map load.,
0x38,Player Scale,Read on map load. Set according to 0x94. Affects physics. [Affects hitbox size?],
0x3C,Player Depth Scale,Read on map load. Changes width on Z-Axis,
0x40,Pointer to Next Linked List,Traditionally 0x00000000. THIS IS NOT ALWAYS CONSISTENT,
0x44,Pointer to 0x40 / Pointer to Prev Linked List,,
0x48,Length of Linked List,Always 0x40 (64)?,
0x74,Unk,Float. Used for Ness's Jump (@ 800CC654),
0x78,,Float.,
0x80,Horizontal velocity (self-induced),Changing this will only have an effect if the character is in the air.,
0x84,Vertical Velocity (self-induced),"Float. Positive = up, negative = down. Changes when the player jumps/falls of his own accord. Does not kill upward.",
0x88,Depth velocity (self-induced),Float. Assume unused.,
0x8C,Horizontal velocity (attack-induced),"Float. Positive = right, negative = left.",
0x90,Vertical velocity (attack-induced),"Float. Positive = up, negative = down. Only works when player is in the air. Changes when the player is attacked. Kills upward.",
0x94,Depth velocity (attack-induced),Float. Assume unused.,
0xA0,,Float.,
0xA4,Pointer to Prev Linked List,,
0xA8,Pointer to Next Linked List,,
0xAC,Length of Linked List,Int. Always 0x6 (6)?,
0xB0,X (Horizontal) position,"Float. Positive is right, negative is left. 00000000 is center.",
0xB4,Y (Vertical) position,Float. Only works when player is in the air.,
0xB8,Z (Depth) position,Float,
0xBC,X (Horizonal) position (Prev. Frame),Float,
0xC0,Y (Vertical) position (Prev. Frame),Float,
0xC4,Z (Depth) Position (Prev. Frame),Float,
0xC8,X Delta (Curr - Prev Pos),Float,
0xCC,Y Delta (Curr - Prev Pos),Float,
0xD0,Z Delta (Curr - Prev Pos),Float,
0xE0,Ground/Air state,"0x00000000 on ground, 0x00000001 in air. Changing does nothing.",
0xE4,Horzitonal Velocity Queue (Will be added to 0xEC),Float.,
0xE8,???,Float.,
0xEC,"Horizontal velocity (ground, self-induced)",Float. Self-induced. Also affects running animation.,
0xF0,???,Float.,
0xF4,???,Float.,
0xF8,???,,
0x100,???,Float.,
0x104,Unk Pointer,,
0x108,Unk Pointer,,
0x10C,Pointer to .dat file in RAM,"0x8 from the address located here contains a pointer to the start of the .dat (0x20 of the start of the .dat in RAM)
0x44 from the address located here contains a pointer to ledge grab box values. 0x10,014,0x18 are ledge grab box values",
,,,
Character Attributes,,These values are taken from the dat files and loaded directly into memory.,
0x110,Walk initial velocity,Float.,
0x114,Walk acceleration,,
0x118,Walk maximum velocity,,
0x11C,Slow walk max?,,
0x120,Mid walk point?,,
0x124,Fast walk min?,,
0x128,Ground friction,,
0x12C,Dash initial velocity,,
0x130,Dash/run acceleration A,...,
0x134,Dash/run acceleration B,,
0x138,Dash/run terminal velocity,,
0x13C,Run animation scaling,,
0x140,Run Acceleration?,,
0x144,Grounded Max Horizontal Velocity,,
0x148,Jump startup time,,
0x14C,Jump H initial velocity,,
0x150,Jump V initial velocity,,
0x154,Ground to air jump momentum multiplier,,
0x158,Jump H max velocity,,
0x15C,Hop V initial velocity,,
0x160,Air jump V multiplier,,
0x164,Air jump H multiplier,,
0x168,Max Jumps,,
0x16C,Gravity,Float.,
0x170,Terminal Velocity,,
0x174,Air mobility A,,
0x178,Air mobility B,,
0x17C,Max Horizontal Air Speed,,
0x180,Horizontal Air Friction,,
0x184,Fastfall Velocity,,
0x188,???,,
0x18C,Jab-2 input window,,
0x190,Jab-3 input window,,
0x194,Frames to change direction on standing turn,,
0x198,Weight,,
0x19C,Model Scaling,,
0x1A0,Initial Shield Size,,
0x1A4,Shield break initial velocity,,
0x1A8,Rapid jab window,,
0x1AC,???,,
0x1B0,???,,
0x1B4,???,,
0x1B8,Ledge Jump Horizontal Velocity,,
0x1BC,Ledge Jump Vertical Velocity,,
0x1C0,Item Throw Velocity Multiplier,,
0x1C4,???,,
0x1C8,???,,
0x1CC,???,,
0x1D0,???,,
0x1D4,???,,
0x1D8,???,,
0x1DC,???,,
0x1E0,???,,
0x1E4,???,,
0x1E8,???,,
0x1EC,???,,
0x1F0,Kirby B Star Damage,,
0x1F4,Normal Landing Lag,,
0x1F8,N-air Landing Lag,,
0x1FC,F-air Landing Lag,,
0x200,B-air Landing Lag,,
0x204,U-air Landing Lag,,
0x208,D-air Landing Lag,,
0x20C,Victory Screen Window Model Scale,,
0x210,???,,
0x214,Wall Jump Horizontal Velocity,,
0x218,Wall Jump Vertical Velocity,,
0x21C,???,,
0x220,???,,
0x224,???,,
0x228,???,,
0x22C,???,,
0x230,???,,
0x234,???,,
0x238,???,,
0x23C,???,,
0x240,???,,
0x244,???,,
0x248,???,,
0x24C,???,,
0x250,???,,
0x254,???,,
0x258,???,,
0x25C,Bubble ratio?,,
0x260,???,,
0x264,???,,
0x268,???,,
0x26C,???,,
0x270,Respawn Platform Scale,,
0x274,???,,
0x278,???,,
0x27C,Camera Zoom Target Bone?,,
0x280,???,,
0x284,???,,
0x288,???,,
0x28C,Special Jump Action = -1...?,,
0x290,Weight Dependent Throw Speed Flags,,
*Character Attributes End*,,,
,,,
,,,
0x2D4,Pointer to 0x2420,Used by functions that are checking Article FP data,
0x2D8,Pointer to 0x2420 (Repeated),,
,,,
0x3E4,Sub Action Event Timer,(Start of subaction struct. Often referenced as a pointer in subaction event functions as r4),
0x3E8,Sub Action State Frame Counter,"Float, resets to 1 with each new action state.",
0x3EC,Subaction Syntax Data Position Pointer,"Pointer. Pointer points to the current position of the subaction event data (by the Word) as it is being read by the subaction event handler. The subaction event data is as it is stored in the Pl**.dat file. (That's right, like in Crazy Hand)",
0x3F0,Event Loop Count,Int. Controlled by Event 0x0C,
0x3F4,Event Return Pointer,,
0x3F8,Unk,Int. Same functionality as 0x3F0.,
0x3FC,Unk,,
0x400,Pointer to 0x460,,
0x404,Pointer to 0x3C0,,
,,,
0x49C,Pointer to 0x4B0 / Color Blend Pointer,,
0x4B4,rrggbbaa color,Changing changes color.,
0x4B8,Red value,Float. Set between 0 and 255.,
0x4BC,Green value,Float,
0x4C0,Blue value,Float,
0x4C4,Alpha value,Float,
0x4C8,Red blink rate,Float,
0x4CC,Green blink rate,Float,
0x4D0,Blue blink rate,Float,
0x4D4,Alpha blink rate,Float,
0x504,Color tint on/off,Byte. Change to 0x80 or above to induce a color tint. Melee uses 0x91,
0x58C,Action state ID?,read during ASC @ 80085cf8,
0x590,Action state data pointer,I THINK this points to data related to current action state.,
0x594,Team ID,"Most-significant bit appears to be related to air-to-ground momentum transfer, rest unknown",
0x598,Unknown pointer,,
0x59C,Pointer to portion of PlxxAJ.dat for current subaction,,
0x5A4,Action state data length,,
0x5E8,Bone lookup table (Points to a table of pointers to JObjs),http://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,Note: The Table1 referenced here is incorrect - It's actually a JObj.
0x5F8,Item Held Bool?,,
0x60C,Pointer to GFX to display,,
0x618,Player controller number,Byte. Change this to have a different player control the character.,
0x619,Costume ID,Byte.,
0x61A,Color Overlay ID,,
0x61B,Team ID,"Byte. 00 = red, 01 = blue, 02 = green",
0x620,Analog Stick Data X,"Used to compare previous value vs. current value to differentiate ""tilts"" and ""smashes""",
0x624,Analog Stick Data Y,,
0x628,Prev Analog Stick X,,
0x62C,Prev Analog Stick Y,,
0x630,,,
0x634,,,
0x638,C-Stick X-Axis,Float (-1.0 to 1.0),
0x63C,C-Stick Y-Axis,Float (-1.0 to 1.0),
0x640,Flags,,
0x644,,,
0x648,,,
0x64C,,,
0x650,Analog trigger data,"43/140 minimum, 1.00 maximum. 0.35 if z held.",
0x65C,Digital Button Data,See Global Addresses regarding Controller Data to better understand this.,
0x660,Digital Button Data (Prev. Frame),,
0,Instant Buttons,,
0x670,Frames Analog Stick Has Been in Tilt (X-Axis),,
0x671,Frames Analog Stick Has Been in Tilt (Y-Axis),,
0x672,Frames Analog Trigger Has Been Lightly Pressed,,
0x673,Frames Analog Stick Has Been in SmashTurn or Tilt (X-Axis),,
0x674,Frames Analog Stick Has Been in SmashTurn or Tilt (Y-Axis),,
0x675,Frames Analog Trigger Has Been Hard Pressed,,
0x676,Frames Since Analog Stick Was Moved From X-Axis,,
0x677,Frames Since Analog Stick Was Moved From Y-Axis,,
0x678,Frames Since Analog Trigger Was Moved,,
,,,
0x67C,Frames Since A Button Was Pressed,,
0x67D,Frames Since B Button Was Pressed,,
0x67E,Frames Since X/Y Button Was Pressed,,
0x67F,Frames Since Z Button Was Pressed,,
0x680,Frames Since L/R Digital Button Was Pressed,,
0x681,Frames Since DPad Up Button Was Pressed ,,
0x682,Frames Since DPad Down Button Was Pressed,,
0x688,Unknown Byte Flag,Modified in function at 0x8006abec; unknown.,
0x689,Time since Special Button being pressed (not modifiable?),Modified in function at 0x8006abec; is based on the bool return value of a function pertaining to the B button. Byte. (0=just pressed; n = pressed n frames ago),
0x6A8,Unk (Y Offset from Double Jump position?),"Float. Used for Peach, Mewtwo, Yoshi, Ness Jump calc. ",
0x6AC,Unk,Float. Seen using Peach's Umbrella,
0x6F0,Pointer to 0x00 / Start of Physics Struct,,
0x6F4,X (Curr Frame),Float. Likely positions of TopN for physics related functions.,
0x6F8,Y,Float,
0x6FC,Z,Float,
0x700,X (Prev Frame),Float,
0x704,Y,Float,
0x708,Z,Float,
0x70C,X (Prev Frame),Float,
0x710,Y,Float,
0x714,Z,Float,
0x718,X (Curr Frame),Float,
0x71C,Y,Float,
0x720,Z,Float,
0x726,Ledge grab box activation,,
0x72C,Floor ID - Action State,,
0x738,Collision?,,
0x744,Ledge Grab Box - X Width,,
0x748,Ledge Grab Box - Y Displacement,,
0x74C,Ledge Grab Box - Y Stretch,,
0x7A4,,,
0x7A8,ECB top,,
0x7AC,ECB left,,
0x7B0,ECB bottom,,
0x7C4,ECB right (prev frame)?,,
0x7C8,ECB top (prev frame)?,,
0x7CC,ECB left (pref frame)?,,
0x7D0,ECB bottom (prev frame)?,,
0x824,Environment Bitfield,,
0x830,Position Last Landed,,
0x83C,Floor ID,,
0x840,Ground Type,,
0x83F,Platform ID,,
0x842,Stage relation ID,,
0x843,Stage transformation ID,"Byte. Default is 00, Pokemon Stadium transformations change this value",
0x88C,ECB Inactive Frames,Int.,
0x890,Pointer to Floating Point Data,See 80086B80 for example,
0x894,Action State Frame Counter,"Float, resets to 1 with each new action state.",
0x898,???,Float. Used for setting 0x3E8 during Event function,
0x89C,Speed of Current Animation,Float. Changing does nothing.,
0x8A4,???,Knocks player out of action states when set to 40C00000,
0x914,Hitbox 0,http://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,
0xA4C,Hitbox 1,Note that the above thread lists as +0x60 position,
0xB84,Hitbox 2,,
0xCBC,Hitbox 3,,
,,,
0x1198,Player ID Hitbox cannot Hit?,"For some reason there is a flag in the hitbox subaction event that, when combined with this address being zero, prevents said hitbox from spawning (The code literally makes the parser skip over the hitbox.). See 0x8007121c. // Makes an exception for hitbox collision?",Update: Pointer of the player who threw this character. Used for throw knockback collisions and enables hitboxes only when character is thrown.
0x119C,Team ID stored here,Somethign to do with Hitboxes and friendly fire?,
0x119D,Grabbing player's 0xC variable?,The byte at 0xC of the grabbing player's block is stored here for the person who was grabbed,
0x11A0,Hurtbox data start.,https://smashboards.com/threads/melee-gecko-codes-guide-and-discussion.327311/page-44#post-21572283,
,,,
0x1830,Percentage,Float.,
0x1838,Percentage for Damage Calculation,Float,
0x183C,Damage Applied,,
0x1840,0x00000000?,,
0x1844,Damage Direction,Float. -1 to 1,
0x1848,Knockback Angle,Int. Normally 0x00000169 (Sakurai Angle),
0x184C,0x00000001?,,
0x1850,Force Applied,Float.,
0x1854,X Position of Hitbox,Float,
0x1858,Y Position of Hitbox,Float,
0x185C,Z Position of Hitbox,Float,
0x1860,Unk,Dependent on 0x1848,
0x1864,Unk,Dependent on 0x1848,
0x1868,Damage Source,Points to an entity,
0x186C,Last Applied Damage,Float,
0x18A4,???,Float. Loaded with 80087454,
0x18B4,Armor,Acts like Yoshi's Double Jump Armor. Works on Grounded and Aerial! Float.,
0x18B8,SDI horizontal offset,,
0x18BC,SDI vertical offset,,
0x18C4,Slot of Last Damage Source,"0 - 5, with 6 indicating a self-destruct",
0x18F4,Turn Timer,,
0x1910,Frames Spent Offscreen,Goes up by 1 for every frame in offscreen bubble,
0x195C,Hitlag counter,Float. Counts down by 1 every frame until reaching 0. The last frame of hitlag is the frame before it hits 0.,
0x1968,Number of jumps used (8-bit),Gives more jumps if lowered.,
0x1969,Number of walljumps used,Read by the Walljump AS to determine how much velocity to give (800c2114),
0x1974,Item Held,,
0x1978,Item Related?,,
0x197C,Bunny Hood,,
0x198C,Player body state (32-bit),"0 = normal, 1 = invulnerable, 2 = intangible",
0x1990,Ledge invincibility timer,Invincibility runs out when this hits 0. Modifiable.,
0x1994,Halo invincibility timer,Invincibility runs out when this hits 0. Modifiable.,
0x1998,Shield size,,
0x199C,Lightshield amount,"Float. 1 is hard shield. z-shield is 3D924921, or .071429",
0x19A4,Shield Follow Bit,,
0x19C4,Shield Follow Bit,,
0x19E8,Reflect Follow Bit,,
0x1A40,Direction Absorb Was Hit From,"Float,",
0x1A44,Damage Dealt to Absorb?,Int.,
0x1A4C,Breakout countdowns,"Float. Grabs, sleep attack element, ground attack element. Player breaks out when this reaches 0.",
0x1A58,Pointer to Grabbing Player,,
0x1A5C,Pointer to Grabbing Player (Repeated),,
0x1A68,???,Short. Set according to r4 in 8007e2d0,
0x1A6A,Grabbable Flag,Short. Set according to r4 by 8007e2f4,
0x1A94,CPU AI Type,Int. Lower 8 bits is the type. Can be changed mid-game.,
0x1A98,CPU Level,Int. Can be changed midgame,
0x1F1C,Pointer to 0x1F90,,
0x1F74,Pointer to 0x1F7C,,
0x2000,Lip Stick Flower Remainder,Frames of Lip Stick Flower remaining,
0x2004,Starman Invincibility,Controls something with the duration of the sparkle after starman ends.,
0x2008,Mushroom Duration,"(32-bit) After obtaining a either mushroom, default length gets stored in this address and is decremented by one every frame. Transforms back to regular size when reaches 0. ",
0x2014,Bunny Hood Duration,Frames of Bunny Hood remaining,
0x2028,Metal Box Duration,Frames of Metal Box remaining,
0x2030,Cloaking Device Duration,Frames of Cloaking Device remaining,
0x2064,Ledge Grab Cooldown,Decrements by 1 each frame off the ledge,
0x206C,Total # of action states,Increases by 1 with every new action state until match end.,
0x2070,Word from 0x4 of Move Logic Table,"8-Bit (is read in bits, but is stored with a word @ 8008968c (comes from action state change))",
0x2071,Unknown,8-Bit (80037cdc reads this during actionstatechange),
0x2072,Unknown,8-Bit (80037ca4 and 80037c88 read this during actionstatechange),
0x2073,Unknown,"Byte (80037cf8 reads this during actionstatechange),",
0x2074,Percentage as Int?,Written to here (800896a4),
0x2084,???,Byte. Seems to have something to do with how the Sakurai angle is calculated. See 0x8007ac9c.,
0x208C,Last attack landed,,
0x2090,Combo count (16-bit),,
0x2098,Player tag countdown,"Displays the ""P1"", etc. tag when the countdown hits 1.",
0x20A4,???,Pointer to loaded by 800872B0,
0x20C4,Pointer to 0x2138,These are part of some sort of linked list. The next value after pointers always seems to be 6.,
0x20D4,Pointer to 0x1FDC,,
0x20D8,Pointer to 0x214C,,
0x20E8,Pointer to 0x1FE4,,
0x20EC,Pointer to 0x2160,,
0x210C,Wallride counter (8-bit),Set to 0 when contact with a wall (other conditions necessary),
0x2110,Wall location (float),Wall on left(1)/right(-1) of character,
0x2114,Smash attack state,"2 = charging smash, 3 = attacking with charged smash, 0 = all other times",
0x2118,Smash attack charge frame counter,,
0x211C,Frame number at which a fully charged smash initiates (float),default = 0x42700000 = 60,"This isn't accurate for Fox. For him, it's a pointer to 0x2124. So, this is likely some kind of struct that needs to be better understood."
0x2120,Charged smash attack strength multiplier,,
0x2124,Charged smash attack animation speed multiplier (attack animation only),,
0x2188,???,,
0x218C,???,Int. Some kind of timer. Seems to count down on attacks and up during states like Wait,
0x219C,Current Action State IASA Function Pointer,,
0x21A0,Current Action State Animation Interrupt Pointer,,
0x21A4,Current Action State Physics Pointer,,
0x21A8,Current Action State Collision Interrupt Pointer,,
0x21AC,Current Action State Camera Behavior Pointer,,
0x21BC,Projectile Spawn Function Pointer,800E1178 is an example of this being set for Mario's Special N.,
0x21C0,Pointer to function to execute on-hit,"Used by Link/YL dair and possibly others. Works for any grounded or aerial normal, but it seems not to be evaluated for specials.",
0x21C4,Function to run on Shield Hit,,
0x21C8,Function to run on Reflect Hit,,
0x21D4,Function to run when player is hit,,
0x21D8,Function to run when player leaves hitlag,,
0x21DC,Function to run when player is hit,,
0x21E4,,,
0x21EC,Function to run when player is thrown,Function is run after kirby Up-Throw hit's the ground. blrl for this exists at 80069bd8 inside ActionStateChange,
0x21F4,Function to run when white detection bubbles collide,,
0x21FC,Collision bubble toggle (8-bit),"01=no collision bubbles (default), 02=collision bubbles & no char textures, 03=overlayed bubbles",
0x2200,???,Int. Checked == 0 in 800e4f48 and set to 0 if != 0,
0x2204,Flag to Init Reflect Hitbox,"Checked for Mario Cape @ 800e1668, equals 1 when reflect hitbox should be active // Used during Fox/Falco's Shine at 800e65bc",
0x220C,??? Flags,Compared with 2 during Fox/Falco's shine at 800e65bc,
0x2210,??? Flags,Byte. Mario's fireball spawn (800E0EE0) checks bit 24 == 1,
0x2218,IASA Flags,Byte. Checked and modified with 80093bc0 and 80093cd0. 0x80 = IASA enabled. Set by 80071950 (Subaction 0x5C),
0x2219,Various Flags,"Byte. 0x05 = character freezes and hitboxes stay out for 1 collision. 0x03 = player acts normal and freezes when hit, can SDI around after. (verify: 0x10 = hitbox is out?) [0x01 bit appears to be the flag that controls whether or not the hitboxes of the character can have  collisions.]",
0x221A,isFastFalling Flag,Byte. Bit 31 checked and modified with 80093bc0 and 80093cd0,
0x221B,Shield Enabled Bit,Byte. Checked and modified with 80093bc0,
0x221D,??? Flags,,
0x221E,Model Visibility Flag,rightmost bit = visibility bit,
0x221F,Bit Flags,Byte. Get bit 24 with 80086B64. Get bit 28 with 800874BC. Get bit 29 with 8008730C.,
0x2223,Metal Texture Toggle (8-bit),"01=on (like getting the metal box item), 00=off",
0x2224,Can walljump (8-bit),"01 = can walljump, 00 = can't walljump",
0x2227,Bit flags,Byte.,
0x222C,Misc Flags // Bowser Flame Degradation Count // Marth Side B Refresh // Peach Float // Luigi Cyclone Flag,"Compared to 0 for transitioning to Action State 14 during Fox/Falco Shine @ 800e65bc, is also expected to be 0 prior in the function // Peach Float Flag reset @ (0x80069934)",
0x2230,Flags,Used as a check in DrMario's pill spawn function @ 0x800E0FD0 as an index for the current pill color,
0x223C,Original Held Item Pointer,Pointer to an Item GObj,"When Peach's Parasol is removed by 802BDB94, this is swapped into the Held Item. Presumably for when Up-Bing with an Item"
0x2324,??? ,Appears to be a value or duration of sorts. See @0x800768a0,
0x2328,??? ,"Directly related to Hitbox.0x04. When creating a hitbox, if what that value gets set to is equal to the value in this memory address, it will trigger a function that copies unknown parts of the hitbox.See @0x800768a0",
0x2290,Misc Special Flags?,Used for Kirby's vertical velocity boost on side B.Reset to 0 when,"Also used to count other things relating to frames (but as integers): Shield Time, Grabbed Time, Time Left on Spawn Platform, Time left to lie on Ground"
0x2330,Hammer Duration,Frames of Hammer remaining,"Also used to count other things relating to frames (but as integers): Shield Time, Grabbed Time, Time Left on Spawn Platform, Time left to lie on Ground"
0x2340,Misc Flags // Hitstun counter // Short Hop Identifier // PS Count,"Float. Frames of hitstun left. Decremented by 1 every frame of game. // 0 = full hop, 1 = short hop",
0x2342,Misc Flags,"Byte. Used for flags, like Cliff Grab.",
0x2344,Misc Flags // Shield Location from Body,"Float. 0 = center of body, 1 = furthest amount away",
0x2348,Shield Angle,"Float, degrees. 0 = in front of, 90 = up, 180 = behind, 270 = down (offset +10 degrees?)",
0x234C,Misc Flags // Times Walljumped,,
0x2354,Landing Lag Divisor,"Float. Used to calclulate landing lag. Dividend is usually 30, so 30 divided by this value gives you the number the animation speed will be DIVIDED by. Quotient smaller numbers = longer animation",
0x2358,Act out of Landing Flag / ??,"Read upon landing at 80096d68 and compared at 800d5db0. If 0, cannot act out of landing. If 1, can act out of landing after 4 frames. (Used to differentiate between a specialland and normal land?) // OLD DESCRIPTION: Float. Used for a comparison @ 80093c94 and 80093cd0",
0x2420,Start of Per Character Article Floating Points,"Doesn't appear to be 1:1 with Dantarion's offsets, but mostly the same. Not all changes work. Plus they reset whenever a new spawn of the character occurs.",